Category;ID;QDanish;QEnglish;QDutch;Points;ADanish;AEnglish;ADutch;Assessment
Lunar;1;LUNAR er dygtig til indkøb og lavprissalg. Men kunderne stiller nye krav. En dag ringer Erik, en fast kunde, som har købt 200 elbokse til et nybyg. Boksene er leveret, men Erik er bekymret: De kan ikke nå at installere alle samme dag. For at undgå tyveri spørger Erik, om LUNAR kan hente de tiloversblevne bokse og aflevere dem igen dagen efter? LUNAR har aldrig fået det spørgsmål før. Giv 1 forslag til, hvad salgsmedarbejderen kan svare Erik og 1 bud på, hvad hun kan gøre, efter samtalen er slut?;LUNAR is adept at purchasing and low-cost sales. But customers are making new demands. One day, Erik calls, a regular customer who has bought 200 electrical boxes for a new building. The boxes have been delivered, but Erik is worried: They won't be able to install all the same day. To avoid theft, Erik asks if LUNAR can pick up the remaining boxes and return them the next day? LUNAR has never been asked that question before. Give 1 suggestion of what the sales associate can answer Erik and 1 suggestion of what she can do after the conversation is over?;LUNAR is bedreven in inkoop en goedkope verkoop. Maar klanten stellen nieuwe eisen. Op een dag belt Erik, een vaste klant die 200 elektriciteitskasten heeft gekocht voor een nieuw pand. De dozen zijn geleverd, maar Erik maakt zich zorgen: ze kunnen niet allemaal dezelfde dag nog worden geïnstalleerd. Om diefstal te voorkomen, vraagt Erik of LUNAR de resterende dozen kan ophalen en de volgende dag weer kan terugbrengen? Die vraag is LUNAR nog nooit eerder gesteld. Geef 1 suggestie van wat de verkoopmedewerker kan antwoorden Erik en 1 suggestie van wat ze kan doen nadat het gesprek is afgelopen?;NVT;10 point, når teamet har formuleret: 1 forslag til kundesvar + 1 bud på, hvad hun gør bagefter.;10 points when the team has formulated: 1 suggestion for customer responses + 1 suggestion for what she does next.;10 punten wanneer het team heeft geformuleerd: 1 suggestie voor klantreacties + 1 suggestie voor wat ze vervolgens doet.;Moderator
Lunar;2;"Onsdag får Lise, en intern sælger i LUNAR, et opkald fra en kunde, der spørger, hvordan nogle købte produkter skal installeres. 

Det viser sig i snakken, at kunden godt kan få installationen på plads. Men at kunden mangler nogle supplerende LUNAR-produkter for at lave en rigtig god løsning. Lise har tidligere haft svært ved den slags opkald, men hun er blevet god til det nu. Hvad bør Lise tale med kunden om? 
Hvordan motiverer virksomheder interne medarbejdere til at håndtere sådan et opkald godt? ";"On Wednesday, Lise, an internal sales representative at LUNAR, gets a call from a customer asking how some purchased products should be installed. 

It turns out in the talk that the customer can get the installation in place. But that the customer needs some complementary LUNAR products to make a really good solution. Lise has previously had difficulty with this kind of call, but she has become good at it now. What should Lise talk to the customer about? 
How do companies motivate internal employees to handle such a call well?";"Op woensdag krijgt Lise, een interne verkoopvertegenwoordiger bij LUNAR, een telefoontje van een klant met de vraag hoe sommige gekochte producten moeten worden geïnstalleerd. 

In het gesprek blijkt dat de klant de installatie op zijn plaats kan krijgen. Maar dat de klant een aantal complementaire LUNAR-producten nodig heeft om een echt goede oplossing te maken. Lise had voorheen moeite met dit soort telefoontjes, maar ze is er nu goed in geworden. Waar moet Lise met de klant over praten? 
Hoe motiveren bedrijven interne medewerkers om zo'n telefoontje goed af te handelen?";NVT;"10 point for at svare på begge spørgsmål.
5 ekstra point, hvis ordet ’mersalg’ nævnes i et svar.";"10 points for answering both questions.
5 extra points if the word 'upsell' is mentioned in a reply 12";"10 punten voor het beantwoorden van beide vragen.
5 extra punten als het woord 'upsell' in een antwoord wordt genoemd 12";Moderator
Lunar;3;"Flere af LUNARS sælgere laver de samme fejl igen og igen: De taler meget, spørger lidt og har fokus på at præsentere produkter og funktioner, når de snakker med kunderne. Dette bliver meget synligt for salgschefen på en samkørsel med en sælger. Salgschefen konkluderer: Teamet har brug for nye kompetencer, så de kan gribe salget an på en anden måde.
Hvilken type kurser og kompetenceudvikling kan klæde sælgerne bedre på til at snakke med kunderne: Hvad skal de lære noget om? 
";"Several of LUNARS' salespeople make the same mistakes over and over again: They talk a lot, ask a little and focus on presenting products and features when they talk to customers. This becomes very visible to the sales manager on a carpooling with a salesperson. The sales manager concludes: The team needs new skills so that they can approach sales in a different way.
What type of courses and skills development can better equip salespeople to talk to customers: What should they learn about?
";"Verschillende verkopers van LUNARS maken keer op keer dezelfde fouten: ze praten veel, vragen een beetje en concentreren zich op het presenteren van producten en functies wanneer ze met klanten praten. Dit wordt heel zichtbaar voor de salesmanager tijdens een carpooling met een verkoper. De salesmanager concludeert: Het team heeft nieuwe vaardigheden nodig om sales op een andere manier te kunnen benaderen.
Wat voor soort cursussen en ontwikkeling van vaardigheden kunnen verkopers beter toerusten om met klanten te praten: waar moeten ze over leren?
";NVT;5 point pr. forslag til konkret kursus eller kompetenceudvikling, der kan klæde salgsstyrken på i forhold til: Fastholdelse, Værdi for kunden og Salg. Max 6 forslag.;5 points per proposal for a specific course or competence development that can equip the sales force in relation to: Retention, Value for the customer and Sales. Maximum 6 suggestions.;5 punten per voorstel voor een specifieke cursus of competentieontwikkeling die het verkoopteam kan uitrusten op het gebied van: Retentie, Waarde voor de klant en Sales. Maximaal 6 suggesties.;Moderator
Lunar;4;"Flere kunder ringer til LUNARS interne kundecenter med spørgsmål om, hvordan de skal anvende et af virksomhedens produkter. Dialogen afslører, at der er flere ting, kunderne ikke er blevet gjort opmærksomme på i salgsprocessen. 
Hvordan sikrer LUNARS salgschef, at ledelsen løbende får viden om, hvad kunderne spørger ind til i kundecentret? ";"Several customers call LUNARS' internal customer center with questions about how to use one of the company's products. The dialogue reveals that there are several things that customers have not been made aware of in the sales process.
How does LUNARS' sales manager ensure that management continuously gains knowledge about what customers ask about in the customer center?";"Verschillende klanten bellen het interne klantencentrum van LUNARS met vragen over het gebruik van een van de producten van het bedrijf. Uit de dialoog blijkt dat er verschillende zaken zijn waar klanten niet op zijn gewezen in het verkoopproces.
Hoe zorgt de salesmanager van LUNARS ervoor dat het management continu kennis opdoet over waar klanten naar vragen in het klantcentrum?";NVT;5 point pr. forslag. Kom gerne omkring flere aspekter, fx digitalt set-up, arbejdskultur og standardiserede haste-procedurer. Max 6 forslag.;"""5 points per proposal. Feel free to discuss several aspects, e.g. digital set-up, work culture and standardized urgent procedures. Maximum 6 suggestions.
""";5 punten per voorstel. Voel je vrij om verschillende aspecten te bespreken, zoals digitale inrichting, werkcultuur en gestandaardiseerde spoedprocedures. Maximaal 6 suggesties.;Moderator
Lunar;5;"Brug ca. 15 min. på at tegne og beskrive en typisk kunderejse i LUNAR. Start rejsen med, at kunden Erik mailer for at spørge om en god pris på 200 elbokse. Lav en trin-for-trin rejse, der viser:
Hvilke faser Erik er igennem fra start til slut på købsrejsen? Hvilken kommunikation modtager Erik i hver fase? Hvad oplever Erik sandsynligvis i hver fase (fx tilfredshed, forvirring)? Hvilke afdelinger er Erik i dialog med undervejs?
Drøft hvad salgsorganisationen kan gøre for at skabe mere værdi på rejsen? Indsæt forslag til nye tiltag på kunderejsen.";"Spend approx. 15 minutes drawing and describing a typical customer journey in LUNAR. Start the journey with the customer Erik emailing to ask for a good price on 200 electrical boxes. Create a step-by-step journey that shows: What phases does Erik go through from start to finish on the buying journey? What communication does Erik receive in each phase? What is Erik likely to experience in each phase (e.g., satisfaction, confusion)? Which departments is Erik in dialogue with along the way?
Discuss what the sales organization can do to create more value on the journey? Insert suggestions for new initiatives on the customer journey.";"Besteed ca. 15 minuten aan het tekenen en beschrijven van een typische klantreis in LUNAR. Begin de reis met de klant Erik die mailt om een goede prijs te vragen voor 200 elektriciteitskasten. Maak een stap-voor-stap reis die het volgende laat zien: Welke fasen doorloopt Erik van begin tot eind in het kooptraject? Welke communicatie ontvangt Erik in elke fase? Wat zal Erik waarschijnlijk ervaren in elke fase (bijv. tevredenheid, verwarring)? Met welke afdelingen is Erik in gesprek?
Bespreek wat de verkooporganisatie kan doen om meer waarde te creëren tijdens de reis? Voeg suggesties toe voor nieuwe initiatieven in de customer journey.";NVT;"10 point for visualisering af kunderejsen. 

5 point pr. forslag til at skabe merværdi på kunderejsen. Max 6 forslag.";"10 points for visualizing the customer journey. 

5 points per proposal to create added value in the customer journey. Maximum 6 suggestions.
";"10 punten voor het visualiseren van de customer journey. 

5 punten per voorstel om toegevoegde waarde te creëren in de customer journey. Maximaal 6 suggesties.
";Moderator
Top of the World;6;"Budgetplanlægningen står for døren i virksomheden Top of the World. Jens har som erfaren salgschef en del input til processen. Desværre har Jens ikke rigtig nogen indflydelse på salgsafdelingens budget, selvom det jo er budgettet, som sætter kursen. 

Det er Jens træt af, for han synes, at hans indsigter og idéer er vigtige. Jens vil gerne ændre på arbejdsgangen.  Hvilken afdeling går Jens til for at få info om budgetmål, og hvilke argumenter bruger han for at få budgetindflydelse? ";"Budget planning is just around the corner in the company Top of the World. As an experienced sales manager, Jens has a lot of input to the process. Unfortunately, Jens does not really have any influence on the sales department's budget, even though it is the budget that sets the course. 

Jens is tired of this, because he thinks his insights and ideas are important. Jens would like to change the workflow. Which department does Jens go to to get info about budget targets, and what arguments does he use to gain budget influence?";"Budgetplanning staat voor de deur in het bedrijf Top of the World. Als ervaren salesmanager heeft Jens veel inbreng in het proces. Helaas heeft Jens niet echt invloed op het budget van de verkoopafdeling, ook al is het het budget dat de koers bepaalt. 

Jens is dit beu, omdat hij zijn inzichten en ideeën belangrijk vindt. Jens wil graag de workflow veranderen. Naar welke afdeling gaat Jens om informatie te krijgen over budgetdoelstellingen, en welke argumenten gebruikt hij om budgetinvloed te krijgen?";NVT;I får 10 point i alt, hvis de to spørgmål besvares med gode argumenter.;You get 10 points in total if the two questions are answered with good arguments.;Je krijgt in totaal 10 punten als de twee vragen met goede argumenten worden beantwoord.;Moderator
Top of the World;7;"Top of the World har været gode til at holde på kunderne. Pick-up producenten har nemlig udviklet mange nye services, som kunderne får gratis. Det har givet producenten et stærkt brand, for de gratis services har stor værdi for kundernes forretning. 

Men konkurrenterne tilbyder nu lignende services, som de tager penge for.  
Definer en forretningsmodel, hvor Top of the World kan tage penge for serviceydelser, der i dag er gratis. ";"Top of the World has been good at retaining customers. The pick-up manufacturer has developed many new services that customers get for free. This has given the manufacturer a strong brand, because the free services are of great value to the customers' business. 

But competitors now offer similar services for which they charge money. Define a business model where Top of the World can charge for services that are currently free.";"Top of the World is goed geweest in het behouden van klanten. De pick-up fabrikant heeft veel nieuwe diensten ontwikkeld die klanten gratis krijgen. Dit heeft de fabrikant een sterk merk gegeven, omdat de gratis diensten van grote waarde zijn voor het bedrijf van de klant. 

Maar concurrenten bieden nu vergelijkbare diensten aan waarvoor ze geld vragen. Definieer een bedrijfsmodel waarbij Top of the World kosten in rekening kan brengen voor diensten die momenteel gratis zijn.";NVT;15 point for at definere en forretningsmodel.;15 points for defining a business model.;15 punten voor het definiëren van een businessmodel.;Moderator
Top of the World;8;"
En kunde, der har 50 high end hifi-butikker, har besøgt Top of the World på en messe i USA, hvor de fik en god snak om produkternes kvalitet. Efterfølgende har kunden besøgt hjemmesiden for at downloade brochurer. Nu ringer kunden ind til kundeservice for at få lidt mere info om nogle efterservices, fordi de er ved at beslutte, om de skal vælge Top of the World.   
Hvilke tre touchpoints er vigtigst i forhold til at skabe mersalg for Top of the World? ";"
A customer who has 50 high-end hi-fi stores has visited Top of the World at a trade fair in the United States, where they had a good talk about the quality of the products. Subsequently, the customer has visited the website to download brochures. Now the customer calls customer service to get a little more info about some after-services, because they are deciding whether to choose Top of the World.
Which three touchpoints are most important in terms of creating additional sales for Top of the World?";"
Een klant die 50 high-end hifi-winkels heeft, heeft Top of the World bezocht op een beurs in de Verenigde Staten, waar ze een goed gesprek hadden over de kwaliteit van de producten. Vervolgens heeft de klant de website bezocht om brochures te downloaden. Nu belt de klant de klantenservice om wat meer informatie te krijgen over enkele after-services, omdat ze beslissen of ze voor Top of the World kiezen.
Welke drie touchpoints zijn het belangrijkst voor het creëren van extra omzet voor Top of the World?";NVT;"
I får 10 point, hvis I kan give tre touchpoints.   ";"You get 10 points if you can give three touchpoints.
";"Je krijgt 10 punten als je drie touchpoints kunt geven.
";Moderator
Top of the World;9;"Sælgerne i Top of the World har til tider svært ved at se, hvilken større betydning deres salg egentlig har for virksomheden. Sælgerne arbejder efter at nå deres budgetter og får sjældent besked om den strategiske betydning, deres indsats har for virksomhed.
Hvilke tre mål kunne salgsafdelingen operere med, der ikke handler om økonomi og budget?";"The salespeople in Top of the World sometimes find it difficult to see what greater significance their sales really have for the company. The salespeople work to achieve their budgets and are rarely told about the strategic importance of their efforts for the business.
What three goals could the sales department operate with that are not about finances and budget?";"

De verkopers in Top of the World vinden het soms moeilijk om te zien welke grotere betekenis hun verkopen echt hebben voor het bedrijf. De verkopers werken om hun budgetten te halen en worden zelden verteld over het strategische belang van hun inspanningen voor het bedrijf.
Met welke drie doelen zou de verkoopafdeling kunnen werken die niet over financiën en budget gaan?";NVT;"5 point pr formuleret mål – max 3. 
10 ekstra point, hvis målene både indtænker interne og eksterne forhold. Max 25 point.";"""5 points per formulated goal – max 3. 
10 extra points if the goals take into account both internal and external conditions. Maximum 25 points.
""";"5 punten per geformuleerd doel – max 3. 
10 extra punten als de doelen rekening houden met zowel interne als externe omstandigheden. Maximaal 25 punten.
";Moderator
Top of the World;10;"Jens ønsker at opgradere virksomhedens salg via teknologi. Sælgerne har nemlig lidt for stor fidus til deres mavefornemmelse. Men den kan svigte og varierer meget fra sælger til sælger. Salgsafdelingen skal derfor nu investere i noget teknologi, der kan understøtte og dokumentere salgsprocesserne. 
Hvilke teknologier kan hjælpe sælgerne til bedre processtyring, og hvilke interne touchpoints skal inddrages i beslutningen? Brug 10 min. på at lave en liste. ";"Jens wants to upgrade the company's sales through technology. The sellers have a little too big a scam for their gut feeling. But it can fail and varies greatly from seller to seller. The sales department must therefore now invest in some technology that can support and document the sales processes.
Which technologies can help salespeople to better manage their processes, and which internal touchpoints should be included in the decision? Take 10 minutes to make a list.";"Jens wil de verkoop van het bedrijf verbeteren door middel van technologie. De verkopers hebben een iets te grote zwendel voor hun onderbuikgevoel. Maar het kan mislukken en verschilt sterk van verkoper tot verkoper. De verkoopafdeling moet daarom nu investeren in technologie die de verkoopprocessen kan ondersteunen en documenteren.
Welke technologieën kunnen verkopers helpen om hun processen beter te beheren, en welke interne touchpoints moeten worden meegenomen in de beslissing? Neem 10 minuten de tijd om een lijst te maken.";NVT;15 point, hvis gruppen kommer med flere konkrete forslag til teknologier, der kan understøtte salg. ;"15 points if the group comes up with several concrete proposals for technologies that can support sales.
";"15 punten als de groep met een aantal concrete voorstellen komt voor technologieën die de verkoop kunnen ondersteunen.
";Moderator
Klaphatten;11;Den lille merchandisebutik Klaphatten oplever igen og igen, at kunderne ikke vil tale med sælgerne. De vil bare se produkterne på hjemmesiden og bestille online. Tidligere har Klaphatten været gode til relationssalg, men markedet er i bevægelse, og relationer betyder mindre for kunderne. Rie, Klaphattens salgsansvarlige, erkender, at der skal ske noget.   Hvordan udvikler Rie sælgernes rolle? Formuler 2 tiltag, som hjælper sælgerne til at skabe værdi for kunderne.;The small merchandise store Klaphatten experiences again and again that customers do not want to talk to the sellers. They just want to see the products on the website and order online. In the past, Klaphatten has been good at relationship selling, but the market is moving, and relationships mean less to customers. Rie, Klaphatten's sales manager, acknowledges that something needs to be done. How does Rie develop the role of salespeople? Formulate 2 actions that help salespeople create value for customers.;De kleine merchandise winkel Klaphatten ervaart keer op keer dat klanten niet met de verkopers willen praten. Ze willen gewoon de producten op de website zien en online bestellen. In het verleden was Klaphatten goed in relatieverkoop, maar de markt is in beweging en relaties betekenen minder voor klanten. Rie, salesmanager van Klaphatten, erkent dat er iets moet gebeuren. Hoe ontwikkelt Rie de rol van verkopers? Formuleer 2 acties die verkopers helpen waarde te creëren voor klanten.;NVT;10 point, hvis I kan komme på 2 tiltag, som sælgeren kan gøre for at skabe værdi/indsigt i en kundedialog?  ;10 points if you can think of 2 initiatives that the salesperson can do to create value/insight in a customer dialogue?;10 punten als je 2 initiatieven kunt bedenken die de verkoper kan doen om waarde/inzicht te creëren in een klantdialoog?;Moderator
Klaphatten;12;"Klaphattens evne til at udvikle deres kundeorientering kan få stor betydning for butikkens omsætning. Det viser en ny undersøgelse, som ejerlederen har orienteret sig lidt i. 

Ejerlederen er nu optaget af holde fast i de gode kunderelationer. Hans 1. prioritet er at finde ud af, hvordan kundeorienteringen udfoldes bedre i sælgernes dagligdag. Hvad kan begrebet ‘kundeorientering’ dække over for en virksomhed som Klaphatten?";"Klaphatten's ability to develop their customer orientation can have a major impact on the store's turnover. This is shown by a new study, which the owner-manager has oriented himself a little in. 

The owner-manager is now concerned with maintaining the good customer relations. His 1st priority is to find out how customer orientation is better developed in the salespeople's daily lives. What can the term 'customer orientation' cover for a company like Klaphatten?";"Het vermogen van Klaphatten om hun klantgerichtheid te ontwikkelen, kan een grote impact hebben op de omzet van de winkel. Dat blijkt uit een nieuwe studie, waar de eigenaar-manager zich een beetje op heeft georiënteerd. 

De eigenaar-manager houdt zich nu bezig met het onderhouden van de goede klantrelaties. Zijn 1e prioriteit is om erachter te komen hoe klantgerichtheid beter wordt ontwikkeld in het dagelijks leven van de verkopers. Wat kan de term 'klantgerichtheid' inhouden voor een bedrijf als Klaphatten?";NVT;"

5 point for et svar. ";5 points for an answer.;5 punten voor een antwoord.;Moderator
Klaphatten;13;"Connie har arbejdet i Klaphatten i alle de 10 år, den har eksisteret. Hun brænder for virksomhedens overlevelse og vækst. Hun har netop købt et nyt CRM-system, der kan give overblik og struktur på kundedialogerne. Men sælgerne får ikke registreret deres dialoger med kunderne i systemet. Det tager for lang tid og skaber ikke værdi for sælgerne personligt, fornemmer hun.
Hvordan får Connie sælgerne til at tage CRM-systemet i brug? Hvordan viser hun dem værdien ved systemet? ";"Connie has worked at Klaphatten for all the 10 years it has existed. She is passionate about the company's survival and growth. She has just bought a new CRM system that can provide an overview and structure of the customer dialogues. But the salespeople do not register their dialogues with customers in the system. It takes too long and does not create value for the sellers personally, she senses.
Hoe zorgt Connie ervoor dat de verkopers het CRM-systeem gebruiken? Hoe laat ze hen de waarde van het systeem zien?";"Connie werkt al 10 jaar bij Klaphatten. Ze is gepassioneerd over het voortbestaan en de groei van het bedrijf. Ze heeft net een nieuw CRM-systeem aangeschaft dat overzicht en structuur kan bieden in de klantdialogen. Maar de verkopers registreren hun dialogen met klanten niet in het systeem. Het duurt te lang en creëert geen waarde voor de verkopers persoonlijk, vindt ze.
How does Connie get the salespeople to use the CRM system? How does she show them the value of the system?";NVT;10 point for en plan.;"10 points for a plan.
";"10 punten voor een plan.
";Moderator
Klaphatten;14;"Lynlevering af merchandise er noget mange kunder sætter stor pris på. Men Klaphatten tager ikke penge for dette. På et møde taler Klaphattens salgs-ansvarlige med ejerlederen om, at der er et muligt salgspotentiale i deres lyn-levering og måske også i andre services. De er enige om, at de skal blive bedre til at tage sig betalt for den værdi, de skaber.
Hvordan sikrer Klaphatten, at de får betaling for den værdi, de skaber hos kunden? Og hvad skal de være obs på i den forbindelse?";"Fast delivery of merchandise is something many customers greatly appreciate, but Klaphatten does not charge money for this. At a meeting, Klaphatten's sales manager talks to the owner-manager about the possibility of sales potential in their lightning delivery and perhaps also in other services. They agree that they need to get better at charging for the value they create.
How does Klaphatten ensure that they get paid for the value they create with the customer? And what should they be aware of in this connection?";"Snelle levering van koopwaar is iets wat veel klanten zeer op prijs stellen, maar Klaphatten rekent hier geen geld voor. Tijdens een vergadering praat de verkoopmanager van Klaphatten met de eigenaar-manager over de mogelijkheid van verkooppotentieel in hun bliksemlevering en misschien ook in andere diensten. Ze zijn het erover eens dat ze beter moeten worden in het in rekening brengen van de waarde die ze creëren.
Hoe zorgt Klaphatten ervoor dat ze betaald worden voor de waarde die ze creëren bij de klant? En waar moeten ze in dit verband op letten?";NVT;"

15 point for et fyldestgørende svar.";"15 points for a satisfactory answer.
";"15 punten voor een bevredigend antwoord.
";Moderator
Klaphatten;15;"Klaphattens kunder forventer hurtig levering af merchandise. Sælgerne forsøger dog ofte at sælge varer, der er lette at sælge, men som ikke nødvendigvis er på lager. Det fører ofte til ordreannullering, fordi kunden ikke vil vente på varen. Klaphattens ledelse har nu besluttet sig for at lægge en plan for, at sælgerne deler mere viden med lager og indkøb.
Brug ca. 15 min. på at lave en plan, der sikrer, at indkøb/logistik involveres, inden sælgerne lover varer, der ikke er på lager.";"Klaphatten's customers expect fast delivery of merchandise. However, sellers often try to sell items that are easy to sell but aren't necessarily in stock. This often leads to order cancellation because the customer doesn't want to wait for the item. Klaphatten's management has now decided to make a plan for the salespeople to share more knowledge with the warehouse and purchasing.
Take about 15 minutes to make a plan that ensures that purchasing/logistics are involved before the salespeople promise goods that are not in stock.";"De klanten van Klaphatten verwachten een snelle levering van goederen. Verkopers proberen echter vaak artikelen te verkopen die gemakkelijk te verkopen zijn, maar niet noodzakelijkerwijs op voorraad zijn. Dit leidt vaak tot annulering van de bestelling omdat de klant niet op het artikel wil wachten. De directie van Klaphatten heeft nu besloten om een plan te maken voor de verkopers om meer kennis te delen met het magazijn en de inkoop.
Neem ongeveer 15 minuten de tijd om een plan te maken dat ervoor zorgt dat inkoop/logistiek erbij betrokken is voordat de verkopers goederen beloven die niet op voorraad zijn.";NVT;I får 20 point for en god plan.;"""You get 20 points for a good plan.
""";"You get 20 points for a good plan.
";Moderator
